Player,Pos,Number,FO,FOW,Hits,Plus/Minus,TO,Saves,ShotsFaced,MinutesPlayed,GAA
Lucas Brown,Goalie,1,1,1,0,3,0,78,88,180,3.3
Ben Edwards,Defense,4,0,0,1,1,8,0,0,0,0
Nick DeAngelo,Defense,6,12,9,0,1,0,0,0,0,0
Adam Zukowski,Forward,7,81,47,13,5,6,0,0,0,0
Nic Gingras,Forward,9,29,20,2,4,13,0,0,0,0
Zach Mangel,Forward,10,0,0,1,1,6,0,0,0,0
Daniel Kauber,Forward,11,0,0,1,1,0,0,0,0,0
Jack Gleason,Defense,12,1,1,3,2,11,0,0,0,0
Cam Glonek,Defense,14,1,1,9,3,8,0,0,0,0
Cuan Doig,Forward,16,86,51,4,2,1,0,0,0,0
Tommy Gilligan,Forward,17,12,7,5,5,8,0,0,0,0
Will Smith,Forward,19,3,1,3,0,5,0,0,0,0
Kevin Ma,Defense,20,0,0,0,2,4,0,0,0,0
Patrick O'Shaughnessy,Forward,21,142,87,9,7,8,0,0,0,0
Matt Grady,Forward,22,27,17,11,3,4,0,0,0,0
Nick Ansbacher,Forward,24,5,2,1,5,3,0,0,0,0
Will Hilton,Defense,26,0,0,6,3,7,0,0,0,0
Micheal Vaglia,Forward,28,27,12,0,0,0,0,0,0,0
Mekhi Ashford,Forward,33,0,0,0,0,0,0,0,0,0
Ander Andreev,Goalie,37,0,0,0,0,0,67,80,180,4.3
Florian Zajic,Defense,40,0,0,23,5,5,0,0,0,0
John Migliore,Defense,71,0,0,0,3,0,0,0,0,0
Spencer Haskell,Defense,74,0,0,0,1,0,0,0,0,0
Joey Wateska,Forward,76,0,0,0,0,0,0,0,0,0
Daniel Hu,Forward,91,0,0,4,1,2,0,0,0,0
Carson Rein,Forward,95,26,17,2,1,0,0,0,0,0
Chandler Kotseos,Forward,98,2,1,7,0,3,0,0,0,0
